PolicyNumber,ProductCode,Sex,IssueAge,IssueDate, FaceAmount ,AnnualPremium
P100039,TRM30,M,54,4/24/01," 504,000 ",10080
P100040,UL,F,62,3/9/22," 860,000 ",6020
P100041,TRM20,F,18,9/9/11," 805,000 ",8855
P100042,TRM20,F,38,10/14/24," 1,379,000 ",31717
P100043,TRM20,M,49,11/8/02," 191,000 ",2674
P100044,UL,M,62,8/1/11," 183,000 ",4392
P100045,TRM20,M,33,1/12/18," 1,214,000 ",26708
P100046,TRM20,M,49,4/25/97," 1,620,000 ",6480
P100047,WL,F,48,9/18/10," 1,538,000 ",27684
P100048,TRM20,F,62,8/7/23," 800,000 ",13600
P100049,UL,F,64,10/23/03," 352,000 ",4224
P100050,TRM10,M,64,12/6/09," 1,979,000 ",19790
P100051,UL,M,70,4/24/11," 1,355,000 ",25745
P100052,TRM20,M,51,2/4/14," 1,228,000 ",6140
P100053,TRM10,M,72,7/5/08," 836,000 ",13376
P100054,WL,F,66,6/13/98," 592,000 ",1776
P100055,TRM20,F,18,12/12/04," 1,427,000 ",14270
P100056,UL,F,73,12/13/02," 793,000 ",19032
P100057,TRM10,F,20,8/20/16," 985,000 ",3940
P100058,TRM10,F,20,8/27/17," 1,257,000 ",11313
P100059,WL,F,36,7/6/01," 1,721,000 ",29257
P100060,TRM30,M,30,1/11/03," 1,058,000 ",15870
P100061,TRM30,M,25,2/7/20," 1,811,000 ",39842
P100062,TRM30,F,64,5/13/09," 1,173,000 ",26979
P100063,TRM20,F,72,6/28/01," 617,000 ",4936
P100064,WL,F,27,7/18/13," 239,000 ",2390
P100065,WL,M,58,6/28/95," 1,553,000 ",23295
P100066,TRM20,M,46,5/2/18," 1,032,000 ",19608
P100067,TRM30,F,58,2/6/12," 576,000 ",9216
P100068,UL,F,39,11/20/95," 1,403,000 ",30866
P100069,TRM10,M,21,11/2/04," 773,000 ",4638
P100070,TRM20,M,72,8/8/98," 1,025,000 ",13325
P100071,TRM10,F,61,7/21/09," 510,000 ",4080
P100072,TRM30,F,24,1/19/08," 1,329,000 ",13290
P100073,WL,M,38,10/21/15," 1,540,000 ",18480
P100074,TRM30,M,31,7/21/99," 1,323,000 ",30429
P100075,UL,F,36,9/24/07," 567,000 ",12474
P100076,TRM20,M,22,1/23/09," 325,000 ",3250
P100077,WL,M,50,12/28/07," 370,000 ",1110
P100078,UL,F,51,6/5/24," 1,713,000 ",42825
P100079,TRM30,M,65,1/16/06," 1,452,000 ",36300
P100080,UL,M,51,7/17/07," 1,256,000 ",5024
P100081,TRM30,F,57,1/5/17," 991,000 ",17838
P100082,TRM30,M,39,10/25/14," 1,334,000 ",30682
P100083,TRM30,M,38,11/25/16," 304,000 ",3952
P100084,TRM30,F,54,6/28/95," 927,000 ",22248
P100085,TRM30,F,18,6/21/20," 390,000 ",2730
P100086,TRM20,M,33,10/26/02," 1,927,000 ",17343
P100087,TRM30,F,75,1/1/19," 974,000 ",21428
P100088,WL,F,27,4/23/00," 1,279,000 ",30696
P100089,TRM10,F,36,8/13/05," 1,153,000 ",4612
P100090,TRM20,M,49,4/11/98," 1,478,000 ",7390
P100091,TRM10,M,41,3/14/96," 344,000 ",4472
P100092,TRM20,M,29,7/22/07," 1,520,000 ",30400
P100093,WL,M,59,10/24/00," 1,614,000 ",38736
P100094,TRM10,M,72,2/2/14," 873,000 ",13095
P100095,TRM10,M,40,10/1/23," 832,000 ",16640
P100096,TRM10,F,37,4/13/96," 627,000 ",11286
P100097,TRM30,F,21,12/22/18," 1,651,000 ",24765
P100098,TRM20,M,38,12/4/13," 1,082,000 ",10820
P100099,WL,M,75,4/19/00," 1,681,000 ",15129
P100100,WL,M,33,6/24/96," 1,823,000 ",16407
P100101,WL,F,22,12/19/03," 1,008,000 ",23184
P100102,WL,M,66,6/14/04," 1,445,000 ",36125
P100103,TRM30,M,68,10/24/19," 162,000 ",2754
P100104,TRM10,M,54,8/19/15," 1,439,000 ",35975
P100105,WL,F,72,1/27/12," 1,277,000 ",6385
P100106,TRM10,M,20,9/13/21," 411,000 ",1233
P100107,TRM20,F,37,12/19/09," 259,000 ",2072
P100108,WL,M,62,3/12/17," 1,735,000 ",29495
P100109,TRM20,M,61,8/17/18," 1,108,000 ",11080
P100110,TRM10,M,55,6/11/98," 903,000 ",3612
P100111,TRM30,F,55,5/6/12," 75,000 ",1650
P100112,UL,M,51,4/11/10," 884,000 ",4420
P100113,TRM10,M,51,8/22/19," 239,000 ",717
P100114,TRM20,F,37,12/2/16," 376,000 ",7520
P100115,TRM30,F,73,12/19/98," 1,490,000 ",31290
P100116,TRM30,F,75,7/12/05," 830,000 ",19090
P100117,TRM10,M,72,1/23/98," 599,000 ",11381
P100118,TRM20,M,63,3/3/95," 130,000 ",3250
P100119,TRM20,M,47,7/19/04," 390,000 ",3510
P100120,WL,F,26,1/15/19," 908,000 ",18160
P100121,TRM30,F,61,4/16/13," 507,000 ",2028
P100122,TRM20,F,34,1/24/00," 366,000 ",2928
P100123,UL,F,47,4/10/96," 1,265,000 ",20240
P100124,TRM10,M,25,7/20/01," 410,000 ",2460
P100125,TRM30,M,37,3/1/99," 373,000 ",4849
P100126,XX99,M,38,9/3/00," 211,000 ",3587
P100127,UL,F,18,12/1/97," 1,533,000 ",26061
P100128,UL,F,75,1/6/18," 1,835,000 ",22020
P100129,TRM10,M,74,10/22/06," 805,000 ",14490
P100130,TRM20,F,26,2/9/14," 757,000 ",16654
P100131,WL,M,73,4/11/08," 593,000 ",14825
P100132,TRM20,F,64,9/16/05," 1,027,000 ",5135
P100133,TRM10,F,66,4/5/06," 1,840,000 ",33120
P100134,TRM10,F,57,2/17/99," 1,852,000 ",9260
P100135,UL,M,36,6/6/98," 1,366,000 ",15026
P100136,UL,F,59,3/28/13," 1,666,000 ",38318
P100137,TRM20,F,49,10/17/09," 1,494,000 ",7470
P100138,TRM30,M,74,8/14/16," 1,004,000 ",4016
P100139,WL,M,68,9/17/12," 1,573,000 ",20449
P100140,TRM10,M,59,3/23/01," 1,001,000 ",4004
P100141,TRM10,F,72,8/19/11," 1,395,000 ",9765
P100142,TRM30,F,37,12/28/95," 1,108,000 ",24376
P100143,WL,M,68,4/15/11," 741,000 ",8151
P100144,TRM20,F,36,4/22/23," 81,000 ",1782
P100145,TRM20,M,22,8/2/21," 495,000 ",3465
P100146,TRM20,F,50,7/19/18," 1,832,000 ",5496
P100147,UL,F,75,4/21/97," 1,114,000 ",5570
P100148,UL,M,71,12/17/07," 416,000 ",4992
P100149,UL,M,70,6/15/25," 623,000 ",14329
P100150,TRM10,M,64,4/26/22," 1,605,000 ",28890
P100151,WL,M,48,1/28/98," 1,732,000 ",43300
P100152,TRM20,M,67,2/13/20," 1,350,000 ",22950
P100153,TRM30,M,71,7/7/17," 78,000 ",1326
P100154,TRM30,M,72,10/13/00," 1,093,000 ",10930
P100155,WL,M,65,1/20/11," 90,000 ",2250
P100156,TRM20,M,75,2/26/17," 282,000 ",3666
P100157,TRM30,F,58,5/6/09," 400,000 ",2000
P100158,UL,M,22,2/8/06," 1,135,000 ",18160
P100159,XX99,F,59,2/23/24," 104,000 ",2184
P100160,TRM20,F,50,6/14/09," 730,000 ",17520
P100161,TRM10,M,71,8/16/15," 484,000 ",11616
P100162,WL,F,74,11/11/96," 1,789,000 ",35780
P100163,WL,F,50,2/28/11," 751,000 ",18024
P100164,WL,F,26,2/9/05," 980,000 ",16660
P100165,WL,F,26,11/2/95," 682,000 ",14322
P100166,WL,F,47,11/7/06," 1,166,000 ",24486
P100167,TRM30,M,26,4/17/08," 1,754,000 ",40342
P100168,TRM10,F,37,7/21/19," 1,695,000 ",8475
P100169,TRM20,F,27,3/4/98," 680,000 ",14960
P100170,UL,M,36,3/14/10," 1,670,000 ",21710
P100171,UL,F,36,6/15/25," 478,000 ",11950
P100172,TRM10,F,34,5/6/11," 50,000 ",150
P100173,TRM30,F,67,3/2/17," 40,000 ",720
P100174,TRM30,F,46,5/6/95," 1,676,000 ",11732
P100175,TRM10,M,68,1/24/19," 1,813,000 ",25382
P100176,TRM20,F,68,5/1/17," 492,000 ",9840
P100177,TRM10,M,33,4/8/20," 584,000 ",5256
P100178,TRM30,F,36,3/2/95," 1,087,000 ",11957
P100179,UL,F,65,9/3/02," 1,903,000 ",41866
P100180,UL,M,18,3/23/97," 1,592,000 ",6368
P100181,WL,M,29,6/17/21," 642,000 ",12840
P100182,TRM20,M,45,8/14/04," 751,000 ",4506
P100183,TRM20,F,52,6/13/97," 1,506,000 ",19578
P100184,TRM30,M,27,2/2/96," 706,000 ",16238
P100185,TRM10,M,41,3/4/10," 1,144,000 ",6864
P100186,TRM10,M,59,8/15/05," 295,000 ",6195
P100187,WL,F,53,9/19/97," 1,045,000 ",16720
P100188,TRM20,M,59,5/18/96," 205,000 ",615
P100189,TRM20,F,20,12/1/21," 1,579,000 ",9474
P100190,WL,F,28,9/7/24," 1,908,000 ",40068
P100191,TRM20,F,67,10/9/96," 214,000 ",2996
P100192,TRM20,M,53,2/4/10," 1,048,000 ",13624
P100193,UL,M,26,5/10/10," 1,272,000 ",19080
P100194,TRM10,M,65,9/15/06," 1,940,000 ",42680
P100195,TRM30,F,57,3/16/16," 1,016,000 ",15240
P100196,WL,F,66,4/23/13," 1,389,000 ",22224
P100197,TRM20,F,59,8/3/05," 155,000 ",1860
P100198,TRM20,F,50,4/19/19," 1,022,000 ",23506
P100199,WL,M,67,12/19/99," 903,000 ",7224
P100200,TRM30,F,62,6/17/12," 974,000 ",4870
P100201,TRM30,F,37,9/13/01," 614,000 ",12894
P100202,TRM10,F,28,6/19/24," 605,000 ",9680
P100203,TRM10,F,49,2/26/21," 1,621,000 ",9726
P100204,TRM30,M,41,4/8/08," 909,000 ",21816
P100205,TRM30,F,71,9/6/01," 190,000 ",2850
P100206,TRM20,M,49,9/24/95," 993,000 ",2979
P100207,TRM10,F,39,10/5/02," 864,000 ",12960
P100208,TRM10,F,28,11/19/24," 1,090,000 ",27250
P100209,TRM30,F,49,9/27/21," 1,977,000 ",5931
P100210,TRM30,F,28,2/25/05," 1,517,000 ",9102
P100211,TRM30,F,37,1/23/17," 928,000 ",4640
P100212,WL,M,73,6/15/18," 770,000 ",7700
P100213,TRM20,M,68,2/15/04," 1,341,000 ",25479
P100214,WL,M,49,10/13/99," 1,454,000 ",31988
P100215,TRM30,F,23,12/6/20," 1,393,000 ",11144
P100216,WL,M,18,10/14/17," 656,000 ",2624
P100217,WL,F,43,11/17/04," 1,031,000 ",23713
P100218,TRM20,F,45,3/4/10," 163,000 ",3423
P100219,WL,F,71,11/25/95," 1,959,000 ",11754
P100220,TRM30,F,46,6/18/03," 1,816,000 ",29056
P100221,WL,F,71,3/4/04," 176,000 ",2640
P100222,TRM30,M,47,5/26/98," 457,000 ",1371
P100223,UL,F,73,9/3/16," 1,723,000 ",12061
P100224,WL,F,44,3/14/12," 1,367,000 ",9569
P100225,UL,M,49,4/6/02," 1,702,000 ",11914
P100226,WL,M,61,10/22/09," 1,937,000 ",30992
P100227,UL,M,61,2/2/09," 459,000 ",8721
P100228,UL,F,39,12/28/24," 1,931,000 ",42482
P100229,UL,M,74,6/23/16," 288,000 ",6912
P100230,WL,M,47,2/5/20," 110,000 ",1870
P100231,UL,F,150,2/15/23," 462,000 ",11088
P100232,TRM10,M,66,1/22/24," 380,000 ",6840
P100233,UL,F,25,1/7/96," 854,000 ",2562
P100234,UL,M,33,2/28/18," 1,442,000 ",11536
P100235,TRM10,M,31,4/17/14," 1,700,000 ",18700
P100236,TRM30,F,50,7/7/97," 308,000 ",6160
P100237,TRM30,M,21,1/21/03," 674,000 ",8088
P100238,TRM10,F,60,11/26/01," 1,206,000 ",13266
P100239,TRM10,F,53,3/4/15," 292,000 ",3504
P100240,TRM10,M,25,10/14/13," 350,000 ",2450
P100241,UL,F,24,1/17/13," 475,000 ",3800
P100242,TRM20,M,59,7/12/14," 1,815,000 ",34485
P100243,TRM20,M,22,7/8/04," 1,649,000 ",32980
P100244,TRM10,M,51,1/1/00," 1,252,000 ",30048
P100245,TRM20,M,22,5/15/16," 398,000 ",2786
P100246,TRM30,M,29,4/14/15," 1,248,000 ",11232
P100247,TRM10,M,47,3/13/12," 1,727,000 ",10362
P100248,TRM20,F,55,5/6/13," 1,569,000 ",25104
P100249,TRM30,M,75,11/7/12," 401,000 ",4411
P100250,TRM10,M,46,3/8/09," 1,124,000 ",21356
P100251,UL,F,72,2/16/95," 211,000 ",2110
P100252,TRM20,F,47,10/20/96," 1,021,000 ",14294
P100253,TRM20,F,74,6/1/15," 273,000 ",5460
P100254,TRM30,M,51,10/10/23," 1,388,000 ",20820
P100255,TRM10,F,45,10/2/06," 751,000 ",16522
P100256,XX99,M,27,7/3/98," 1,423,000 ",8538
P100257,TRM30,F,75,12/4/00," 1,357,000 ",21712
P100258,TRM20,M,48,5/16/00," 859,000 ",2577
P100259,WL,F,25,2/14/97," 1,389,000 ",6945
P100260,WL,F,18,9/27/10," 1,636,000 ",9816
P100261,TRM10,M,21,4/12/12," 1,183,000 ",21294
P100262,WL,M,74,6/11/09," 1,747,000 ",17470
P100263,TRM30,F,68,9/11/24," 174,000 ",3654
P100264,TRM10,F,23,5/25/09," 1,835,000 ",11010
P100265,TRM20,F,65,5/19/12," 277,000 ",4986
P100266,UL,M,34,11/18/12," 1,718,000 ",30924
P100267,UL,F,75,4/10/20," 689,000 ",12402
P100268,TRM30,M,71,3/15/18," 1,866,000 ",22392
P100269,TRM10,F,50,10/11/96," 1,001,000 ",14014
P100270,TRM30,M,72,11/10/15," 1,814,000 ",25396
P100271,TRM10,F,34,9/1/96," 538,000 ",4304
P100272,WL,F,72,4/19/11," 1,194,000 ",27462
P100273,WL,M,21,1/17/23," 709,000 ",13471
P100274,UL,F,31,4/1/15," 1,774,000 ",23062
P100275,TRM30,M,53,3/18/11," 775,000 ",13950
P100276,UL,F,66,3/1/20," 847,000 ",9317
P100277,UL,M,28,5/28/08," 1,792,000 ",41216
P100278,TRM10,F,29,12/19/15," 355,000 ",4260
P100279,TRM10,M,28,1/17/20," 331,000 ",6951
P100280,TRM20,F,47,8/6/09," 797,000 ",19925
P100281,UL,F,65,10/2/23," 31,000 ",651
P100282,TRM30,F,41,11/19/96," 134,000 ",2814
P100283,TRM20,M,22,4/8/08," 1,676,000 ",15084
P100284,TRM10,F,69,5/22/22," 891,000 ",13365
P100459,TRM30,M,71,4/23/06," 966,000 ",16422
P100286,UL,F,70,1/15/08," 34,000 ",238
P100287,TRM10,F,27,4/23/18," 1,907,000 ",43861
P100288,TRM10,F,41,6/1/04," 764,000 ",14516
P100289,TRM10,F,67,11/8/16," 1,778,000 ",26670
P100290,WL,F,64,12/6/04," 1,540,000 ",38500
P100291,UL,M,19,5/15/99," 282,000 ",5922
P100292,UL,F,73,1/7/20," 898,000 ",12572
P100293,TRM30,F,52,7/1/10," 612,000 ",8568
P100294,TRM30,F,72,11/7/09," 209,000 ",2090
P100295,TRM10,F,45,7/28/03," 1,010,000 ",9090
P100296,UL,F,73,11/15/20," 1,706,000 ",17060
P100297,UL,F,45,1/16/20," 648,000 ",14256
P100042,UL,F,43,4/18/96," 29,000 ",551
P100299,TRM10,F,71,7/28/96," 1,046,000 ",5230
P100300,TRM20,M,42,2/7/04," 1,426,000 ",25668
P100301,TRM10,F,31,11/8/11," 239,000 ",2390
P100302,UL,M,38,6/2/19," 1,534,000 ",38350
P100303,UL,F,22,10/7/97," 1,923,000 ",21153
P100304,UL,M,47,6/20/04," 349,000 ",5584
P100305,TRM10,M,26,4/9/16," 1,328,000 ",9296
P100306,TRM10,F,46,11/3/14," 1,301,000 ",7806
P100307,TRM20,M,41,10/15/95," 339,000 ",5085
P100308,TRM20,M,45,3/5/04," 1,784,000 ",10704
P100309,TRM10,M,34,8/25/96," 248,000 ",2976
P100310,TRM10,F,32,2/28/06," 1,184,000 ",7104
P100311,UL,F,73,7/1/11," 600,000 ",1800
P100312,WL,M,37,9/18/13," 1,422,000 ",22752
P100313,UL,F,70,3/9/13," 156,000 ",2184
P100314,UL,M,29,5/13/04," 1,434,000 ",34416
P100315,UL,M,26,2/8/99," 1,358,000 ",32592
P100316,TRM20,F,42,1/2/95," 1,391,000 ",5564
P100317,TRM10,F,26,6/1/24," 1,331,000 ",27951
P100318,UL,F,55,1/17/03," 1,455,000 ",14550
P100319,TRM30,F,72,4/9/23," 125,000 ",875
P100320,WL,F,59,10/15/00," 1,048,000 ",6288
P100321,TRM10,M,71,12/15/10," 465,000 ",11160
P100322,TRM20,F,32,6/15/02," 1,408,000 ",21120
P100323,TRM30,M,64,9/27/05," 1,654,000 ",21502
P100324,TRM30,F,44,11/12/97," 1,590,000 ",39750
P100325,TRM20,M,52,9/17/08," 334,000 ",4676
P100326,TRM10,F,21,6/11/09," 1,136,000 ",26128
P100327,TRM30,F,27,1/26/24," 246,000 ",3198
P100328,TRM30,F,55,1/17/96," 587,000 ",5870
P100329,WL,M,20,5/26/05," 772,000 ",2316
P100330,TRM30,F,27,8/3/22," 117,000 ",468
P100331,TRM10,F,65,8/14/04," 678,000 ",12882
P100332,UL,F,34,6/12/15," 1,789,000 ",21468
P100333,TRM20,F,46,6/26/12," 1,943,000 ",19430
P100334,WL,F,46,1/23/22," 922,000 ",9220
P100335,TRM20,F,56,10/12/16," 1,837,000 ",20207
P100336,WL,F,25,10/22/16," 1,978,000 ",25714
P100337,WL,F,75,3/5/17," 88,000 ",1408
P100338,WL,M,58,11/11/03," 1,522,000 ",16742
P100339,TRM20,M,32,9/15/01," 384,000 ",3840
P100340,TRM20,F,50,3/6/01," 1,351,000 ",8106
P100341,TRM30,F,37,3/18/19," 250,000 ",2000
P100342,WL,F,30,5/18/24," 1,012,000 ",17204
P100343,TRM10,M,65,8/7/05," 37,000 ",370
P100344,TRM10,F,34,1/27/97," 441,000 ",1764
P100345,TRM30,F,56,11/28/16," 1,327,000 ",9289
P100346,TRM30,F,75,7/21/14," 966,000 ",4830
P100347,WL,F,37,4/27/01," 1,473,000 ",17676
P100348,WL,F,41,9/27/14," 1,179,000 ",8253
P100349,TRM20,F,46,6/8/15," 542,000 ",5962
P100350,UL,F,22,2/3/00," 208,000 ",3120
P100351,TRM20,M,31,4/15/02," 610,000 ",12200
P100352,UL,F,30,7/8/15," 1,946,000 ",31136
P100353,TRM10,M,46,6/15/25," 488,000 ",7320
P100354,WL,F,75,7/26/14," 1,837,000 ",44088
P100355,TRM20,M,56,3/22/98," 727,000 ",4362
P100356,TRM30,F,35,12/19/21," 1,287,000 ",9009
P100357,UL,F,69,11/3/16," 177,000 ",3186
P100358,TRM10,F,72,12/9/01," 1,058,000 ",3174
P100359,UL,F,66,1/15/09," 72,000 ",1728
P100360,TRM10,M,57,1/6/03," 967,000 ",13538
P100361,WL,M,44,6/15/16," 1,519,000 ",27342
P100362,TRM20,M,35,3/27/20," 1,230,000 ",11070
P100363,TRM20,M,41,4/8/20," 395,000 ",9480
P100364,TRM30,F,66,9/18/24," 998,000 ",7984
P100365,TRM20,,24,9/17/09," 1,821,000 ",25494
P100366,UL,M,52,7/3/97," 651,000 ",16275
P100367,TRM10,F,22,3/2/18," 1,518,000 ",34914
P100368,TRM10,M,69,7/16/16," 557,000 ",6684
P100369,UL,F,37,2/20/12," 1,643,000 ",41075
P100370,TRM10,M,56,11/15/18," 1,541,000 ",7705
P100371,UL,F,19,12/13/17," 1,760,000 ",33440
P100372,TRM30,M,61,11/6/97," 68,000 ",1020
P100373,TRM30,F,63,1/8/07," 1,070,000 ",21400
P100374,TRM20,F,47,3/5/02," 852,000 ",13632
P100375,WL,M,38,9/24/06," 1,510,000 ",37750
P100376,WL,F,54,6/21/21," 1,812,000 ",23556
P100377,WL,M,38,11/15/10," 1,218,000 ",7308
P100378,UL,F,71,4/2/22," 774,000 ",7740
P100379,TRM10,F,46,5/7/06," 1,572,000 ",22008
P100380,WL,F,33,7/20/22," 1,560,000 ",39000
P100381,UL,F,55,3/9/03," 256,000 ",2048
P100382,WL,F,29,2/27/22," 348,000 ",6960
P100383,TRM30,F,34,5/15/07," 933,000 ",2799
P100384,WL,M,69,8/21/06," 1,386,000 ",4158
P100385,TRM10,M,50,3/5/05," 1,049,000 ",16784
P100386,TRM20,M,71,4/8/19," 1,324,000 ",11916
P100387,UL,M,73,9/14/19," 1,444,000 ",18772
P100388,UL,M,25,10/19/97, -   ,6230
P100389,UL,M,22,5/15/08," 124,000 ",1860
P100390,TRM30,M,64,9/24/02," 778,000 ",2334
P100391,TRM20,M,63,8/12/19," 1,054,000 ",14756
P100392,TRM10,F,40,9/15/11," 522,000 ",7308
P100393,UL,F,28,5/23/14," 338,000 ",6084
P100394,UL,F,47,7/17/21," 453,000 ",4530
P100395,UL,F,70,3/26/05, -   ,13860
P100396,WL,F,38,7/14/21," 411,000 ",9042
P100397,TRM30,M,68,8/15/21," 1,832,000 ",40304
P100398,TRM20,M,18,3/1/05," 1,656,000 ",13248
P100399,TRM20,M,48,8/8/06," 1,245,000 ",22410
P100400,WL,M,37,12/5/11," 1,345,000 ",4035
P100401,TRM30,M,66,8/3/16," 400,000 ",1200
P100402,TRM10,F,23,10/26/98," 1,213,000 ",27899
P100403,WL,M,67,5/9/20," 1,547,000 ",26299
P100404,TRM30,F,56,12/22/10," 640,000 ",12800
P100405,UL,F,63,10/14/15," 1,195,000 ",10755
P100406,TRM10,M,33,2/12/22," 1,297,000 ",29831
P100407,WL,F,53,11/5/98," 853,000 ",14501
P100408,TRM20,F,46,7/22/98," 160,000 ",1760
P100409,TRM20,F,63,8/10/23," 1,341,000 ",12069
P100410,TRM20,M,57,3/16/06," 1,537,000 ",36888
P100411,WL,M,30,9/17/07," 1,906,000 ",26684
P100412,UL,F,28,11/3/06," 388,000 ",5820
P100413,TRM20,M,58,3/10/05," 1,605,000 ",25680
P100414,TRM20,M,70,12/7/16," 1,374,000 ",5496
P100415,TRM20,M,59,3/5/98," 970,000 ",20370
P100416,WL,M,63,10/24/03," 255,000 ",1785
P100417,TRM10,M,74,11/8/00," 1,996,000 ",31936
P100418,TRM20,M,47,1/8/02," 1,466,000 ",4398
P100419,WL,F,34,11/19/14," 1,583,000 ",11081
P100420,UL,M,40,12/27/14," 1,503,000 ",24048
P100421,TRM10,M,46,4/28/05," 632,000 ",8848
P100422,TRM30,F,66,2/11/11," 313,000 ",5634
P100423,WL,M,64,9/8/20," 670,000 ",9380
P100424,WL,M,41,11/16/23," 657,000 ",15111
P100425,TRM20,F,61,7/9/19," 588,000 ",7056
P100426,TRM10,M,42,12/12/21," 1,914,000 ",32538
P100427,TRM30,M,52,7/4/15," 1,580,000 ",28440
P100428,UL,M,50,5/20/23," 687,000 ",10305
P100429,UL,F,74,5/1/03," 1,335,000 ",29370
P100430,WL,M,49,2/6/21," 1,135,000 ",28375
P100431,TRM30,M,57,10/12/24," 355,000 ",8520
P100432,TRM20,F,32,3/12/96," 592,000 ",5328
P100433,TRM20,M,67,7/17/14," 95,000 ",1900
P100434,TRM20,M,69,7/25/14," 1,558,000 ",10906
P100435,TRM10,M,65,11/12/20," 359,000 ",4667
P100436,WL,M,48,4/28/12," 1,293,000 ",23274
P100437,WL,M,72,10/10/07," 642,000 ",2568
P100438,UL,F,48,12/18/96," 1,388,000 ",30536
P100439,UL,M,27,7/5/03," 889,000 ",18669
P100440,TRM20,F,43,6/12/07," 37,000 ",555
P100441,TRM10,M,69,6/17/07," 692,000 ",8304
P100442,WL,F,49,9/12/06," 669,000 ",10704
P100443,TRM10,M,57,12/21/18," 1,451,000 ",29020
P100444,TRM30,F,63,12/13/01," 838,000 ",7542
P100445,UL,F,18,10/7/09," 1,379,000 ",11032
P100446,TRM20,F,44,2/15/06," 1,077,000 ",8616
P100447,UL,F,32,1/27/06," 391,000 ",5865
P100448,TRM30,M,28,3/23/14," 1,076,000 ",9684
P100449,TRM30,M,63,10/17/13," 568,000 ",13632
P100450,TRM20,F,74,6/26/17," 626,000 ",8764
P100451,TRM10,M,65,12/4/15," 1,072,000 ",21440
P100452,TRM30,F,69,6/24/08," 1,557,000 ",20241
P100453,UL,F,55,2/20/17," 1,823,000 ",30991
P100454,TRM10,M,52,4/7/00," 637,000 ",5096
P100455,TRM10,M,33,8/22/05," 1,640,000 ",32800
P100456,UL,M,50,5/11/95," 1,275,000 ",20400
P100457,TRM30,F,48,2/28/03," 140,000 ",2520
P100458,TRM10,F,34,10/10/00," 120,000 ",1320
P100459,TRM20,M,44,7/28/07," 30,000 ",270
P100460,TRM30,F,55,6/23/03," 960,000 ",21120
P100461,TRM20,F,21,6/13/96," 357,000 ",8568
P100462,TRM20,F,29,6/3/00," 1,590,000 ",14310
P100463,TRM20,F,58,11/18/12," 154,000 ",3542
P100464,TRM10,M,43,2/2/95," 1,304,000 ",7824
P100465,UL,F,59,1/26/19," 1,295,000 ",24605
P100466,TRM10,M,55,12/3/18," 905,000 ",19005
P100467,TRM20,M,43,5/1/05," 1,751,000 ",43775
P100468,TRM20,M,70,1/24/06," 1,086,000 ",15204
P100469,UL,M,27,2/10/99," 1,200,000 ",10800
P100470,UL,M,74,10/5/06," 1,246,000 ",17444
P100471,WL,F,57,10/25/02," 573,000 ",9168
P100472,TRM20,F,23,3/27/09," 1,742,000 ",10452
P100473,UL,M,61,12/22/03," 680,000 ",5440
P100474,UL,F,62,2/18/07," 895,000 ",13425
P100475,TRM20,F,31,10/10/04," 1,522,000 ",12176
P100476,TRM20,F,60,9/21/00," 519,000 ",7785
